Nombre completo,¿Qué prefieres hacer en tus ratos libres?,¿Cómo te ves a ti mismo? Como alguien...,¿En 10 años te ves trabajando con...?,Quisiera que mi espacio laboral fuera...,"Si pudiera elegir, en mi trabajo tendría que...",Quisiera un trabajo:,En mi trabajo me gustaría que mi relación con los demás fuera...,Trabajaría en un lugar en el que las actividades cotidianas estuvieran relacionadas con...,Me gustaría un trabajo que se centrara en...,"Cuando trabaje, me gustaría destacarme por...",En mi trabajo me gustaría responder por:,¿Cuál sería el tema principal de tu trabajo?,¿En cuál de estos sectores te gustaría trabajar?,¿Cuáles son las materias que te gustan MÁS?,¿Cuáles son las materias que te gustan MENOS?,¿En qué sientes que te va mejor? En temas relacionados con...,¿En qué materias te va MEJOR?,¿En qué materias NO TE VA BIEN?
Marisela Saura-Pinilla,"Hacer actividades artisticas, Leer o hacer experimentos","Imaginativo. Me expreso creativamente, Líder. Me divierte tomar la iniciativa","Creaciones propias relacionadas con el arte, Equipos de trabajo, guiándolos y dirigiéndolos","Al aire libre, sin tener un puesto fijo",Permanecer en el mismo lugar,"Como empresario, en el que soy mi propio jefe","Poca, que implique poco relacionamiento con compañeros de trabajo o clientes",Dirigir y coordinar gente para desarrollar proyectos,"El uso de datos e información, como palabras, números, símbolos y estadísticas para analizar, sistematizar e investigar","Entender las necesidades de los demás y ayudarlos a solucionarlas, Crear e innovar, aportar nuevas ideas y formas de hacer las cosas","Mi trabajo, el de mi equipo y el impacto que genere","El diseño, música, baile, teatro y cocina, La salud y el funcionamiento del cuerpo, Los recursos naturales, el campo y los animales","Cultural y artístico, Educación, Ambiental","Educación física, Biología y química, Ciencias económicas y políticas","Matemáticas, Física, Educación artística","La creación y representación de objetos e imágenes, La expresión corporal: actividades físicas como deportes, danza o actuación","Educación artística, Lengua castellana, Educación física","Matemáticas, Física, Biología y química"
Aurelio Ugarte Vidal,"Practicar deporte o construir cosas, Escuchar y conversas con mis amigos","Hábil. Soy bueno para el trabajo manual, Organizado. Prefiero tener claro lo que voy a hacer","Herramientas que me permitan construir y crear, Equipos de trabajo, guiándolos y dirigiéndolos","Una oficina, con mi puesto de trabajo",Permanecer en el mismo lugar,"Como empresario, en el que soy mi propio jefe","Poca, que implique poco relacionamiento con compañeros de trabajo o clientes","Crear por medio del diseño, dibujo o música, Usar diferentes herramientas y tecnología","El uso de herramientas y equipos para realizar acciones como controlar, construir y arreglar","Crear e innovar, aportar nuevas ideas y formas de hacer las cosas, Comunicarme con los demás, escuchar sus ideas y transmitir las mias",Mis resultados,"El diseño, música, baile, teatro y cocina, Los recursos naturales, el campo y los animales","Industrial manufacturero, Construcción, TIC (Tecnologías de la información y la comunicación) y telecomunicaciones","Matemáticas, Física, Ciencias sociales","Lengua castellana, Educación artística, Biología y química","Las matemáticas: el cálculo, los símbolos y la lógica, La expresión corporal: actividades físicas como deportes, danza o actuación","Matemáticas, Física, Educación física","Ciencias sociales, Lengua castellana, Educación artística"
Ale Cabrero-Quintero,"Hacer actividades artisticas, Leer o hacer experimentos","Imaginativo. Me expreso creativamente, Líder. Me divierte tomar la iniciativa","Creaciones propias relacionadas con el arte, Herramientas que me permitan construir y crear","Al aire libre, sin tener un puesto fijo",Desplazarme a diferentes lugares,En el que preste mis servicios a una o varias empresas,"Mucha, que requiera de un relacionamiento constante con mi equipo de trabajo y clientes","Experimentar, investigar y producir conocimiento, Usar diferentes herramientas y tecnología","El desarrollo de ideas para realizar actividades como crear, diseñar, escribir y tocar un instrumento","Crear e innovar, aportar nuevas ideas y formas de hacer las cosas, Trabajar en equipo, tener en cuenta las ideas de los otros",Mi trabajo y mi equipo,"El diseño, música, baile, teatro y cocina","Cultural y artístico, Educación, Administración pública","Educación artística, Lengua castellana, Educación física","Matemáticas, Física, Ciencias económicas y políticas","La creación y representación de objetos e imágenes, La música, el ritmo y los sonidos, interpretarlos y entenderlos","Ciencias económicas y políticas, Educación artística, Educación física","Matemáticas, Física, Biología y química"
José Luis Bonet Blasco,"Leer o hacer experimentos, Buscar y proponer nuevos planes","Curioso. Me gusta entender el porqué de las cosas, Organizado. Prefiero tener claro lo que voy a hacer","Información y datos, para clasificar y analizar, Herramientas que me permitan construir y crear","El lugar que quisiera, como mi casa",Desplazarme a diferentes lugares,Como empleado de una empresa con un contrato fijo,"Mucha, que requiera de un relacionamiento constante con mi equipo de trabajo y clientes",Sistematizar y procesar información o números,"El uso de datos e información, como palabras, números, símbolos y estadísticas para analizar, sistematizar e investigar","Crear e innovar, aportar nuevas ideas y formas de hacer las cosas, Entender las necesidades de los demás y ayudarlos a solucionarlas","Mi trabajo, el de mi equipo y el impacto que genere","La naturaleza, el universo y su funcionamiento, Los recursos naturales, el campo y los animales, El aprendizaje de niños, jóvenes y adultos","Investigación en ciencias básicas y aplicadas, Salud, Seguridad y defensa","Física, Biología y química, Matemáticas","Educación artística, Educación física, Lengua castellana","Las matemáticas: el cálculo, los símbolos y la lógica, La naturaleza, con la comprensión y sensibilidad del entorno natural","Física, Biología y química, Matemáticas","Educación artística, Ciencias sociales, Lengua castellana"
Maricela Bejarano,"Hacer actividades artisticas, Ordenar mi espacio y mis actividades",Curioso. Me gusta entender el porqué de las cosas,"Creaciones propias relacionadas con el arte, Herramientas que me permitan construir y crear","El lugar que quisiera, como mi casa",Desplazarme a diferentes lugares,"Como empresario, en el que soy mi propio jefe","Poca, que implique poco relacionamiento con compañeros de trabajo o clientes","Experimentar, investigar y producir conocimiento","El desarrollo de ideas para realizar actividades como crear, diseñar, escribir y tocar un instrumento","Comunicarme con los demás, escuchar sus ideas y transmitir las mias, Entender las necesidades de los demás y ayudarlos a solucionarlas","Mi trabajo, el de mi equipo y el impacto que genere","El diseño, música, baile, teatro y cocina, El desarrollo y el funcionamiento de objetos, El aprendizaje de niños, jóvenes y adultos","Cultural y artístico, Educación, Seguridad y defensa","Educación artística, Lengua castellana, Matemáticas","Biología y química, Ciencias sociales, Ciencias económicas y políticas","La creación y representación de objetos e imágenes, La naturaleza, con la comprensión y sensibilidad del entorno natural","Educación artística, Lengua castellana, Ciencias económicas y políticas","Matemáticas, Física, Biología y química"
José Ángel Llobet Mármol,"Hacer actividades artisticas, Buscar y proponer nuevos planes","Imaginativo. Me expreso creativamente, Líder. Me divierte tomar la iniciativa","Creaciones propias relacionadas con el arte, Información y datos, para clasificar y analizar","Una oficina, con mi puesto de trabajo",Desplazarme a diferentes lugares,Como empleado de una empresa con un contrato fijo,"Poca, que implique poco relacionamiento con compañeros de trabajo o clientes",Sistematizar y procesar información o números,"El uso de herramientas y equipos para realizar acciones como controlar, construir y arreglar","Comunicarme con los demás, escuchar sus ideas y transmitir las mias",Mi trabajo y mi equipo,"El diseño, música, baile, teatro y cocina, Los recursos naturales, el campo y los animales, La salud y el funcionamiento del cuerpo","Cultural y artístico, Educación, Investigación en ciencias básicas y aplicadas","Educación artística, Lengua castellana, Matemáticas","Física, Biología y química, Ciencias sociales","La música, el ritmo y los sonidos, interpretarlos y entenderlos","Educación artística, Lengua castellana, Física","Matemáticas, Biología y química, Educación Física"
Samanta Company Galván,"Practicar deporte o construir cosas, Escuchar y conversas con mis amigos",Organizado. Prefiero tener claro lo que voy a hacer,"Personas, enseñando o cuidando de ellas, Información y datos, para clasificar y analizar","Al aire libre, sin tener un puesto fijo",Desplazarme a diferentes lugares,"Como empresario, en el que soy mi propio jefe","Poca, que implique poco relacionamiento con compañeros de trabajo o clientes","Crear por medio del diseño, dibujo o música","El uso de herramientas y equipos para realizar acciones como controlar, construir y arreglar","Actuar por mi cuenta sin necesidad de que me supervisen, Entender las necesidades de los demás y ayudarlos a solucionarlas",Mi trabajo y mi equipo,"El desarrollo y el funcionamiento de objetos, El ser humano y su relación con la sociedad, El diseño, música, baile, teatro y cocina","Industrial manufacturero, Construcción, TIC (Tecnologías de la información y la comunicación) y telecomunicaciones","Matemáticas, Física, Educación artística","Ciencias sociales, Lengua castellana, Biología y química","Las matemáticas: el cálculo, los símbolos y la lógica, Las personas, el relacionamiento y comunicación con otros","Matemáticas, Física, Ciencias sociales","Lengua castellana, Educación artística, Biología y química"
Maricela Nuñez Bayona,"Ordenar mi espacio y mis actividades, Buscar y proponer nuevos planes","Hábil. Soy bueno para el trabajo manual, Sociable. Disfruto compartir con otros","Herramientas que me permitan construir y crear, Personas, enseñando o cuidando de ellas","Una oficina, con mi puesto de trabajo",Desplazarme a diferentes lugares,Como empleado de una empresa con un contrato fijo,"Mucha, que requiera de un relacionamiento constante con mi equipo de trabajo y clientes","Enseñar, aconsejar o cuidar de personas, Sistematizar y procesar información o números","El intercambio con otras personas para desarrollar acciones como enseñar, coordinar, liderar, vender y ayudar","Trabajar en equipo, tener en cuenta las ideas de los otros",Mi trabajo y mi equipo,"El desarrollo y el funcionamiento de objetos, Los recursos naturales, el campo y los animales, El aprendizaje de niños, jóvenes y adultos","Industrial manufacturero, Construcción, TIC (Tecnologías de la información y la comunicación) y telecomunicaciones","Física, Educación artística, Matemáticas","Ciencias sociales, Lengua castellana, Biología y química","Las matemáticas: el cálculo, los símbolos y la lógica, La expresión corporal: actividades físicas como deportes, danza o actuación","Matemáticas, Física, Educación artística","Ciencias sociales, Lengua castellana, Educación Física"
Rodrigo del Pereira,"Leer o hacer experimentos, Buscar y proponer nuevos planes","Líder. Me divierte tomar la iniciativa, Hábil. Soy bueno para el trabajo manual","Información y datos, para clasificar y analizar, Herramientas que me permitan construir y crear","El lugar que quisiera, como mi casa",Permanecer en el mismo lugar,"Como empresario, en el que soy mi propio jefe","Mucha, que requiera de un relacionamiento constante con mi equipo de trabajo y clientes","Experimentar, investigar y producir conocimiento","El uso de herramientas y equipos para realizar acciones como controlar, construir y arreglar","Trabajar en equipo, tener en cuenta las ideas de los otros","Mi trabajo, el de mi equipo y el impacto que genere","La naturaleza, el universo y su funcionamiento, El diseño, música, baile, teatro y cocina, El aprendizaje de niños, jóvenes y adultos","Servicios a la comunidad, recreación y bienestar, Desarrollo humano y social, Cultural y artístico","Física, Biología y química, Matemáticas","Educación artística, Educación física, Lengua castellana","Las matemáticas: el cálculo, los símbolos y la lógica, Las palabras, escritas o habladas, esa es tu forma de expresarte","Física, Biología y química, Matemáticas","Educación artística, Educación Física, Ciencias sociales"
Adolfo Reina Bayón,"Escuchar y conversas con mis amigos, Buscar y proponer nuevos planes","Sociable. Disfruto compartir con otros, Organizado. Prefiero tener claro lo que voy a hacer","Personas, enseñando o cuidando de ellas, Equipos de trabajo, guiándolos y dirigiéndolos","El lugar que quisiera, como mi casa",Desplazarme a diferentes lugares,Como empleado de una empresa con un contrato fijo,"Mucha, que requiera de un relacionamiento constante con mi equipo de trabajo y clientes","Enseñar, aconsejar o cuidar de personas","El uso de herramientas y equipos para realizar acciones como controlar, construir y arreglar","Trabajar en equipo, tener en cuenta las ideas de los otros, Comunicarme con los demás, escuchar sus ideas y transmitir las mias",Mis resultados,"El desarrollo y el funcionamiento de objetos, El ser humano y su relación con la sociedad, El diseño, música, baile, teatro y cocina","Educación, Desarrollo humano y social, Investigación en ciencias básicas y aplicadas","Ciencias sociales, Lengua castellana, Educación física","Ciencias económicas y políticas, Biología y química, Educación artística","La música, el ritmo y los sonidos, interpretarlos y entenderlos, Las matemáticas: el cálculo, los símbolos y la lógica","Ciencias sociales, Lengua castellana, Ciencias económicas y políticas","Matemáticas, Física, Educación Física"
Chus Vega Pablo,"Hacer actividades artisticas, Leer o hacer experimentos","Imaginativo. Me expreso creativamente, Curioso. Me gusta entender el porqué de las cosas","Creaciones propias relacionadas con el arte, Personas, enseñando o cuidando de ellas","Al aire libre, sin tener un puesto fijo",Desplazarme a diferentes lugares,En el que preste mis servicios a una o varias empresas,"Mucha, que requiera de un relacionamiento constante con mi equipo de trabajo y clientes","Enseñar, aconsejar o cuidar de personas","El uso de datos e información, como palabras, números, símbolos y estadísticas para analizar, sistematizar e investigar","Actuar por mi cuenta sin necesidad de que me supervisen, Entender las necesidades de los demás y ayudarlos a solucionarlas","Mi trabajo, el de mi equipo y el impacto que genere","El diseño, música, baile, teatro y cocina, La salud y el funcionamiento del cuerpo","Cultural y artístico, Educación, Distribución y suministro de electricidad, agua y gas","Educación artística, Lengua castellana, Ciencias sociales","Física, Biología y química, Matemáticas","La creación y representación de objetos e imágenes, La naturaleza, con la comprensión y sensibilidad del entorno natural","Educación artística, Lengua castellana, Ciencias sociales","Matemáticas, Física, Biología y química"
Américo José María Plaza Alcalde,"Hacer actividades artisticas, Escuchar y conversas con mis amigos","Imaginativo. Me expreso creativamente, Líder. Me divierte tomar la iniciativa","Creaciones propias relacionadas con el arte, Equipos de trabajo, guiándolos y dirigiéndolos","Al aire libre, sin tener un puesto fijo",Desplazarme a diferentes lugares,Como empleado de una empresa con un contrato fijo,"Mucha, que requiera de un relacionamiento constante con mi equipo de trabajo y clientes","Crear por medio del diseño, dibujo o música, Usar diferentes herramientas y tecnología","El desarrollo de ideas para realizar actividades como crear, diseñar, escribir y tocar un instrumento","Comunicarme con los demás, escuchar sus ideas y transmitir las mias, Trabajar en equipo, tener en cuenta las ideas de los otros",Mis resultados,"El diseño, música, baile, teatro y cocina, El ser humano y su relación con la sociedad, El desarrollo y el funcionamiento de objetos","Cultural y artístico, Educación, Financiero","Educación artística, Lengua castellana, Biología y química","Matemáticas, Física, Ciencias económicas y políticas","La música, el ritmo y los sonidos, interpretarlos y entenderlos","Educación artística, Lengua castellana, Física","Matemáticas, Biología y química, Ciencias económicas y políticas"
Cornelio Eligio Zamorano Beltran,"Practicar deporte o construir cosas, Buscar y proponer nuevos planes","Hábil. Soy bueno para el trabajo manual, Líder. Me divierte tomar la iniciativa","Herramientas que me permitan construir y crear, Creaciones propias relacionadas con el arte","Una oficina, con mi puesto de trabajo",Permanecer en el mismo lugar,Como empleado de una empresa con un contrato fijo,"Mucha, que requiera de un relacionamiento constante con mi equipo de trabajo y clientes","Sistematizar y procesar información o números, Dirigir y coordinar gente para desarrollar proyectos","El desarrollo de ideas para realizar actividades como crear, diseñar, escribir y tocar un instrumento","Trabajar en equipo, tener en cuenta las ideas de los otros, Crear e innovar, aportar nuevas ideas y formas de hacer las cosas",Mi trabajo y mi equipo,"El ser humano y su relación con la sociedad, El bienestar económico de las personas y paises","Industrial manufacturero, Construcción, TIC (Tecnologías de la información y la comunicación) y telecomunicaciones","Educación artística, Matemáticas, Ciencias sociales","Lengua castellana, Física, Educación física","Las matemáticas: el cálculo, los símbolos y la lógica, La naturaleza, con la comprensión y sensibilidad del entorno natural","Educación física, Ciencias económicas y políticas","Ciencias sociales, Lengua castellana, Educación artística"
Dora Cañete Lozano,"Buscar y proponer nuevos planes, Hacer actividades artisticas","Sociable. Disfruto compartir con otros, Hábil. Soy bueno para el trabajo manual","Personas, enseñando o cuidando de ellas, Información y datos, para clasificar y analizar","Una oficina, con mi puesto de trabajo",Desplazarme a diferentes lugares,"Como empresario, en el que soy mi propio jefe","Poca, que implique poco relacionamiento con compañeros de trabajo o clientes",Dirigir y coordinar gente para desarrollar proyectos,"El intercambio con otras personas para desarrollar acciones como enseñar, coordinar, liderar, vender y ayudar","Entender las necesidades de los demás y ayudarlos a solucionarlas, Comunicarme con los demás, escuchar sus ideas y transmitir las mias",Mi trabajo y mi equipo,"El aprendizaje de niños, jóvenes y adultos, El diseño, música, baile, teatro y cocina, La naturaleza, el universo y su funcionamiento","Educación, Desarrollo humano y social, Industrial manufacturero","Ciencias económicas y políticas, Matemáticas, Ciencias sociales","Física, Educación física, Biología y química","Las personas, el relacionamiento y comunicación con otros, La expresión corporal: actividades físicas como deportes, danza o actuación","Ciencias sociales, Lengua castellana, Ciencias económicas y políticas","Matemáticas, Física, Biología y química"
Moisés Gisbert Bermudez,"Hacer actividades artisticas, Buscar y proponer nuevos planes","Imaginativo. Me expreso creativamente, Líder. Me divierte tomar la iniciativa","Creaciones propias relacionadas con el arte, Información y datos, para clasificar y analizar","Al aire libre, sin tener un puesto fijo",Desplazarme a diferentes lugares,Como empleado de una empresa con un contrato fijo,"Poca, que implique poco relacionamiento con compañeros de trabajo o clientes","Experimentar, investigar y producir conocimiento, Dirigir y coordinar gente para desarrollar proyectos","El uso de datos e información, como palabras, números, símbolos y estadísticas para analizar, sistematizar e investigar","Comunicarme con los demás, escuchar sus ideas y transmitir las mias",Mi trabajo y mi equipo,"El diseño, música, baile, teatro y cocina, El desarrollo y el funcionamiento de objetos, La naturaleza, el universo y su funcionamiento","Cultural y artístico, Educación, Comercio","Educación artística, Lengua castellana, Ciencias sociales","Educación física, Ciencias económicas y políticas, Física","La naturaleza, con la comprensión y sensibilidad del entorno natural, La creación y representación de objetos e imágenes",Biología y química,"Matemáticas, Física, Educación Física"
Pelayo Ferrán,"Leer o hacer experimentos, Ordenar mi espacio y mis actividades","Hábil. Soy bueno para el trabajo manual, Líder. Me divierte tomar la iniciativa","Herramientas que me permitan construir y crear, Personas, enseñando o cuidando de ellas","Una oficina, con mi puesto de trabajo",Permanecer en el mismo lugar,En el que preste mis servicios a una o varias empresas,"Poca, que implique poco relacionamiento con compañeros de trabajo o clientes","Usar diferentes herramientas y tecnología, Sistematizar y procesar información o números","El intercambio con otras personas para desarrollar acciones como enseñar, coordinar, liderar, vender y ayudar","Actuar por mi cuenta sin necesidad de que me supervisen, Comunicarme con los demás, escuchar sus ideas y transmitir las mias",Mis resultados,"El desarrollo y el funcionamiento de objetos, El diseño, música, baile, teatro y cocina, La salud y el funcionamiento del cuerpo","Industrial manufacturero, Construcción, TIC (Tecnologías de la información y la comunicación) y telecomunicaciones","Biología y química, Lengua castellana, Física","Ciencias sociales, Ciencias económicas y políticas, Educación física","Las matemáticas: el cálculo, los símbolos y la lógica, La creación y representación de objetos e imágenes","Matemáticas, Física, Ciencias sociales","Lengua castellana, Educación artística, Ciencias económicas y políticas"
Matías Molins Sarabia,"Hacer actividades artisticas, Leer o hacer experimentos","Imaginativo. Me expreso creativamente, Organizado. Prefiero tener claro lo que voy a hacer","Creaciones propias relacionadas con el arte, Herramientas que me permitan construir y crear","Al aire libre, sin tener un puesto fijo",Desplazarme a diferentes lugares,En el que preste mis servicios a una o varias empresas,"Mucha, que requiera de un relacionamiento constante con mi equipo de trabajo y clientes","Crear por medio del diseño, dibujo o música, Sistematizar y procesar información o números","El intercambio con otras personas para desarrollar acciones como enseñar, coordinar, liderar, vender y ayudar","Actuar por mi cuenta sin necesidad de que me supervisen, Crear e innovar, aportar nuevas ideas y formas de hacer las cosas",Mis resultados,"El diseño, música, baile, teatro y cocina","Cultural y artístico, Educación, Financiero","Educación artística, Lengua castellana, Ciencias sociales","Matemáticas, Física, Biología y química","La creación y representación de objetos e imágenes, Las matemáticas: el cálculo, los símbolos y la lógica","Educación física, Educación artística","Matemáticas, Física, Biología y química"
Maura Cañas-Alberdi,"Escuchar y conversas con mis amigos, Hacer actividades artisticas","Hábil. Soy bueno para el trabajo manual, Curioso. Me gusta entender el porqué de las cosas","Creaciones propias relacionadas con el arte, Herramientas que me permitan construir y crear","Una oficina, con mi puesto de trabajo",Permanecer en el mismo lugar,En el que preste mis servicios a una o varias empresas,"Poca, que implique poco relacionamiento con compañeros de trabajo o clientes","Usar diferentes herramientas y tecnología, Dirigir y coordinar gente para desarrollar proyectos","El uso de herramientas y equipos para realizar acciones como controlar, construir y arreglar","Trabajar en equipo, tener en cuenta las ideas de los otros",Mis resultados,"El diseño, música, baile, teatro y cocina, El desarrollo y el funcionamiento de objetos, La salud y el funcionamiento del cuerpo","Financiero, Agropecuario, Salud","Biología y química, Ciencias económicas y políticas, Educación artística","Matemáticas, Física, Educación física","Las personas, el relacionamiento y comunicación con otros, La música, el ritmo y los sonidos, interpretarlos y entenderlos","Educación artística, Lengua castellana, Física","Matemáticas, Biología y química, Educación Física"
Gabriel Dávila Bustos,"Leer o hacer experimentos, Buscar y proponer nuevos planes","Curioso. Me gusta entender el porqué de las cosas, Líder. Me divierte tomar la iniciativa","Información y datos, para clasificar y analizar, Creaciones propias relacionadas con el arte","El lugar que quisiera, como mi casa",Permanecer en el mismo lugar,"Como empresario, en el que soy mi propio jefe","Mucha, que requiera de un relacionamiento constante con mi equipo de trabajo y clientes",Sistematizar y procesar información o números,"El intercambio con otras personas para desarrollar acciones como enseñar, coordinar, liderar, vender y ayudar","Crear e innovar, aportar nuevas ideas y formas de hacer las cosas",Mi trabajo y mi equipo,"La salud y el funcionamiento del cuerpo, Los recursos naturales, el campo y los animales, El bienestar económico de las personas y paises","Distribución y suministro de electricidad, agua y gas","Física, Biología y química, Matemáticas","Educación artística, Educación física, Lengua castellana","Las matemáticas: el cálculo, los símbolos y la lógica, La creación y representación de objetos e imágenes","Física, Biología y química, Matemáticas","Educación artística, Ciencias económicas y políticas, Educación Física"
Santiago del Mayoral,"Leer o hacer experimentos, Buscar y proponer nuevos planes","Sociable. Disfruto compartir con otros, Líder. Me divierte tomar la iniciativa","Personas, enseñando o cuidando de ellas, Herramientas que me permitan construir y crear","El lugar que quisiera, como mi casa",Permanecer en el mismo lugar,"Como empresario, en el que soy mi propio jefe","Poca, que implique poco relacionamiento con compañeros de trabajo o clientes",Sistematizar y procesar información o números,"El uso de datos e información, como palabras, números, símbolos y estadísticas para analizar, sistematizar e investigar","Crear e innovar, aportar nuevas ideas y formas de hacer las cosas, Trabajar en equipo, tener en cuenta las ideas de los otros",Mis resultados,"El aprendizaje de niños, jóvenes y adultos, El diseño, música, baile, teatro y cocina, El bienestar económico de las personas y paises","Educación, Desarrollo humano y social, Minero y energético","Ciencias sociales, Lengua castellana, Educación artística","Matemáticas, Física, Biología y química","Las personas, el relacionamiento y comunicación con otros, Las matemáticas: el cálculo, los símbolos y la lógica","Ciencias sociales, Lengua castellana, Ciencias económicas y políticas","Matemáticas, Física, Educación Física"
Angelino de Doménech,"Leer o hacer experimentos, Practicar deporte o construir cosas","Curioso. Me gusta entender el porqué de las cosas, Hábil. Soy bueno para el trabajo manual","Información y datos, para clasificar y analizar, Herramientas que me permitan construir y crear","Al aire libre, sin tener un puesto fijo",Permanecer en el mismo lugar,Como empleado de una empresa con un contrato fijo,"Poca, que implique poco relacionamiento con compañeros de trabajo o clientes","Usar diferentes herramientas y tecnología, Experimentar, investigar y producir conocimiento","El intercambio con otras personas para desarrollar acciones como enseñar, coordinar, liderar, vender y ayudar","Crear e innovar, aportar nuevas ideas y formas de hacer las cosas",Mi trabajo y mi equipo,"La naturaleza, el universo y su funcionamiento, El aprendizaje de niños, jóvenes y adultos, El desarrollo y el funcionamiento de objetos","Financiero, Minero y energético, Seguridad y defensa","Física, Biología y química, Matemáticas","Educación artística, Educación física, Ciencias económicas y políticas","Las matemáticas: el cálculo, los símbolos y la lógica, Las palabras, escritas o habladas, esa es tu forma de expresarte","Física, Biología y química, Matemáticas","Educación artística, Educación Física, Ciencias sociales"
Rufino Castañeda Dávila,Buscar y proponer nuevos planes,"Imaginativo. Me expreso creativamente, Curioso. Me gusta entender el porqué de las cosas","Creaciones propias relacionadas con el arte, Personas, enseñando o cuidando de ellas","Una oficina, con mi puesto de trabajo",Desplazarme a diferentes lugares,Como empleado de una empresa con un contrato fijo,"Mucha, que requiera de un relacionamiento constante con mi equipo de trabajo y clientes","Crear por medio del diseño, dibujo o música, Usar diferentes herramientas y tecnología","El uso de datos e información, como palabras, números, símbolos y estadísticas para analizar, sistematizar e investigar","Actuar por mi cuenta sin necesidad de que me supervisen, Comunicarme con los demás, escuchar sus ideas y transmitir las mias",Mis resultados,"El diseño, música, baile, teatro y cocina, Los recursos naturales, el campo y los animales, La naturaleza, el universo y su funcionamiento","Cultural y artístico, Educación, TIC (Tecnologías de la información y la comunicación) y telecomunicaciones","Educación artística, Lengua castellana, Educación física","Matemáticas, Ciencias económicas y políticas, Física","La creación y representación de objetos e imágenes, Las matemáticas: el cálculo, los símbolos y la lógica","Educación artística, Lengua castellana, Educación física","Matemáticas, Física, Biología y química"
Juan Francisco Pinilla Saldaña,"Practicar deporte o construir cosas, Escuchar y conversas con mis amigos","Hábil. Soy bueno para el trabajo manual, Curioso. Me gusta entender el porqué de las cosas","Herramientas que me permitan construir y crear, Personas, enseñando o cuidando de ellas","El lugar que quisiera, como mi casa",Desplazarme a diferentes lugares,Como empleado de una empresa con un contrato fijo,"Poca, que implique poco relacionamiento con compañeros de trabajo o clientes","Sistematizar y procesar información o números, Usar diferentes herramientas y tecnología","El intercambio con otras personas para desarrollar acciones como enseñar, coordinar, liderar, vender y ayudar",Actuar por mi cuenta sin necesidad de que me supervisen,Mis resultados,El ser humano y su relación con la sociedad,"Industrial manufacturero, Construcción, TIC (Tecnologías de la información y la comunicación) y telecomunicaciones","Matemáticas, Física, Educación artística","Ciencias sociales, Lengua castellana, Educación física","Las matemáticas: el cálculo, los símbolos y la lógica, La creación y representación de objetos e imágenes","Matemáticas, Física, Ciencias económicas y políticas","Ciencias sociales, Lengua castellana, Educación artística"
Sebastian Calzada Cabezas,"Leer o hacer experimentos, Escuchar y conversas con mis amigos","Imaginativo. Me expreso creativamente, Curioso. Me gusta entender el porqué de las cosas","Creaciones propias relacionadas con el arte, Herramientas que me permitan construir y crear","Una oficina, con mi puesto de trabajo",Permanecer en el mismo lugar,"Como empresario, en el que soy mi propio jefe","Mucha, que requiera de un relacionamiento constante con mi equipo de trabajo y clientes",Usar diferentes herramientas y tecnología,"El uso de datos e información, como palabras, números, símbolos y estadísticas para analizar, sistematizar e investigar",Actuar por mi cuenta sin necesidad de que me supervisen,Mis resultados,"El diseño, música, baile, teatro y cocina, Los recursos naturales, el campo y los animales, El aprendizaje de niños, jóvenes y adultos","Cultural y artístico, Educación, Comercio","Educación artística, Lengua castellana, Ciencias sociales","Biología y química, Educación física, Física","La creación y representación de objetos e imágenes, Las personas, el relacionamiento y comunicación con otros","Educación artística, Lengua castellana, Biología y química","Matemáticas, Física, Ciencias económicas y políticas"
Chita Cabanillas Fábregas,"Hacer actividades artisticas, Buscar y proponer nuevos planes","Imaginativo. Me expreso creativamente, Hábil. Soy bueno para el trabajo manual","Equipos de trabajo, guiándolos y dirigiéndolos","Una oficina, con mi puesto de trabajo",Desplazarme a diferentes lugares,Como empleado de una empresa con un contrato fijo,"Mucha, que requiera de un relacionamiento constante con mi equipo de trabajo y clientes","Sistematizar y procesar información o números, Enseñar, aconsejar o cuidar de personas","El uso de datos e información, como palabras, números, símbolos y estadísticas para analizar, sistematizar e investigar","Crear e innovar, aportar nuevas ideas y formas de hacer las cosas","Mi trabajo, el de mi equipo y el impacto que genere","Los recursos naturales, el campo y los animales","Cultural y artístico, Educación, Ambiental","Educación artística, Lengua castellana, Ciencias sociales","Educación física, Física, Biología y química","La creación y representación de objetos e imágenes, La naturaleza, con la comprensión y sensibilidad del entorno natural",Ciencias económicas y políticas,"Matemáticas, Física, Biología y química"
